CountryId,City,Latitude,Longtidue
15,"Sankt Johann im Pongau","47.35","13.2"
15,"Tamsweg","47.133","13.8"
15,"Zell am See","47.317","12.783"
15,"Graz","47.067","15.45"
15,"Kindberg","47.5","15.45"
15,"Leoben","47.383","15.1"
15,"M�rzzuschlag","47.6","15.683"
15,"Innsbruck","47.267","11.4"
15,"Jochberg","47.383","12.4"
15,"Kitzbuhel","47.45","12.383"
15,"Reutte","47.483","10.717"
15,"Solden","46.967","11"
15,"W�rgl","47.483","12.067"
15,"Zirl","47.283","11.233"
15,"Bregenz","47.5","9.767"
15,"Dornbirn","47.417","9.733"
15,"G�tzis","47.333","9.633"
15,"Hohenems","47.367","9.683"
15,"Abtenau","47.55","13.35"
15,"Vienna","48.2","16.367"
15,"Wien","48.2","16.367"
16,"Baku","40.39","49.86"
17,"Freetown","24.283","-75.417"
17,"Old Bight","24.25","-75.35"
17,"Georgetown","23.5","-75.767"
17,"Matthew Town","20.95","-73.667"
17,"Abraham's Bay","22.367","-72.967"
17,"Nassau","25.083","-77.35"
17,"Nassau City","25.083","-77.35"
17,"Colonel Hill","22.767","-74.217"
17,"Snug Corner","22.533","-73.883"
17,"Freeport","26.533","-78.7"
17,"Cooper's Town","26.867","-77.517"
17,"Behring Point","24.45","-77.717"
17,"Marsh Harbour","26.55","-77.05"
17,"Sandy Point","26.017","-77.4"
17,"Fresh Creek","24.7","-77.767"
17,"San Andros","25.067","-78.05"
17,"Rock Sound","24.9","-76.2"
17,"Cockburn Town","24.033","-74.517"
17,"Port Nelson","23.633","-74.833"
18,"Al Manamah","26.236","50.583"
18,"Ar Rifa","26.13","50.555"
18,"Awali","26.084","50.551"
18,"Manama","26.236","50.583"
18,"Muharraq","26.257","50.612"
18,"Jasra","26.162","50.449"
18,"Isa Town","26.174","50.548"
20,"Comilla","23.45","91.2"
20,"Dhaka","23.723","90.409"
20,"Khulna","22.84","89.56"
20,"Rajshahi","24.367","88.59"
20,"Saginaw","0","0"
21,"Christchurch","13.167","-59.617"
21,"Bridgetown","13.1","-59.617"
21,"Warrens","13.15","-59.6"
21,"Speightstown","13.25","-59.63"
23,"Brest","52.1","23.7"
23,"Mahilyow","53.914","30.336"
23,"Minsk","53.9","27.567"
23,"Minsk","53.9","27.567"
23,"Molodechno","54.317","26.85"
24,"Antwerp","51.217","4.417"
24,"Arendonk","51.317","5.083"
24,"Berlaar","51.117","4.65"
24,"Bornem","51.1","4.233"
24,"Geel","51.167","5"
24,"Heist-op-den-Berg","51.083","4.717"
24,"Herentals","51.183","4.833"
24,"Lierre","51.133","4.567"
24,"Malines","51.033","4.467"
24,"Mechelen","51.033","4.467"
24,"Mortsel","51.167","4.467"
24,"Puurs","51.083","4.283"
24,"Reet","51.1","4.417"
24,"Turnhout","51.317","4.95"
24,"Westmalle","51.3","4.683"
24,"Binche","50.4","4.167"
24,"Braine-Le-Comte","50.6","4.133"
24,"Charleroi","50.417","4.433"
24,"Frameries","50.4","3.9"
24,"Hennuyeres","50.633","4.167"
24,"La Louvi�re","50.467","4.183"
24,"Mons","50.45","3.933"
24,"P�ruwelz","50.517","3.583"
24,"Soignies","50.583","4.067"
24,"Tournai","50.6","3.383"
24,"Eupen","50.633","6.033"
24,"Huy","50.517","5.233"
24,"Liege","50.633","5.567"
24,"Verviers","50.583","5.867"
24,"Bree","51.133","5.6"
24,"Dilsen","51.033","5.733"
24,"Genk","50.967","5.5"
24,"Hasselt","50.933","5.333"
24,"Kinrooi","51.15","5.75"
24,"Lanaken","50.883","5.65"
24,"Maaseik","51.1","5.8"
24,"Peer","51.133","5.467"
24,"Sint-Truiden","50.8","5.2"
24,"Tongeren","50.783","5.467"
24,"Arlon","49.683","5.817"
24,"Halanzy","49.567","5.75"
24,"Marche-En-Famenne","50.2","5.333"
24,"Ciney","50.3","5.1"
24,"Namur","50.467","4.867"
24,"Rhisnes","50.5","4.8"
24,"Sombreffe","50.517","4.6"
24,"Aalst","50.933","4.033"
24,"Belsele","51.15","4.083"
24,"Dendermonde","51.033","4.117"
24,"Gavere","50.933","3.667"
24,"Gent","51.05","3.717"
24,"Gentbrugge","51.05","3.75"
24,"Holland","50.917","3.95"
24,"Lochristi","51.1","3.833"
24,"Lokeren","51.1","3.983"
24,"Maldegem","51.217","3.45"
24,"Merelbeke","51","3.75"
24,"Ninove","50.833","4.017"
24,"Oudenaarde","50.85","3.6"
24,"Sint-Niklaas","51.167","4.133"
24,"Zottegem","50.867","3.8"
24,"Brugge","51.217","3.233"
24,"Diksmuide","51.033","2.867"
24,"Harelbeke","50.85","3.3"
24,"Izegem","50.917","3.2"
24,"Knokke-Heist","51.35","3.267"
24,"Kortrijk","50.833","3.267"
24,"Meulebeke","50.95","3.283"
24,"Middelkerke","51.183","2.817"
24,"Ostend","51.217","2.917"
24,"Pittem","51","3.267"
24,"Veurne","51.067","2.667"
24,"Waregem","50.883","3.417"
24,"Brussels","50.833","4.333"
24,"Leuven","50.883","4.7"
24,"Woluwe-Saint-Lambert","50.85","4.4"
24,"Woluwe-Saint-Pierre","50.833","4.417"
24,"Genappe","50.6","4.45"
24,"Grez-Doiceau","50.733","4.7"
24,"Holland","50.767","4.067"
24,"Jodoigne","50.717","4.867"
24,"Nivelles","50.6","4.333"
24,"Ottignies","50.667","4.567"
24,"Sint-Margriete-Houtem","50.833","4.967"
24,"Waterloo","50.717","4.383"
24,"Wavre","50.717","4.617"
24,"Aarschot","50.983","4.833"
24,"Boortmeerbeek","50.983","4.567"
24,"Diest","50.983","5.05"
